Date,Open,High,Low,Close,Adj Close,Volume
2022-11-01,234.600006,255.330002,213.429993,255.139999,252.698715,615296000
2022-12-01,253.869995,263.920013,233.869995,239.820007,238.194702,591358700
2023-01-01,243.080002,249.830002,219.350006,247.809998,246.130554,666168100
2023-02-01,248.000000,276.760010,245.470001,249.419998,247.729630,615501000
2023-03-01,250.759995,289.269989,245.610001,288.299988,287.063354,747635000
2023-04-01,286.519989,308.929993,275.369995,307.260010,305.942047,551497100
2023-05-01,306.970001,335.940002,303.399994,328.390015,326.981384,600807200
2023-06-01,325.929993,351.470001,322.500000,340.540009,339.820526,547588700
2023-07-01,339.190002,366.779999,327.000000,335.920013,335.210297,666764400
2023-08-01,335.190002,338.540009,311.549988,327.760010,327.067535,479456700
2023-09-01,331.309998,340.859985,309.450012,315.750000,315.750000,416680700
2023-10-01,316.279999,332.820007,311.209991,332.420013,332.420013,165415800
2023-10-12,330.565002,333.629913,328.730011,331.160004,331.160004,18444319
