Date,Open,High,Low,Close,Adj Close,Volume
2022-11-01,138.110001,169.979996,129.559998,169.229996,169.126541,1060060300
2022-12-01,169.990005,187.899994,138.839996,146.139999,146.088028,894615200
2023-01-01,148.509995,206.279999,140.339996,195.369995,195.300507,945496000
2023-02-01,196.910004,238.880005,196.110001,232.160004,232.077438,1039347900
2023-03-01,231.919998,278.339996,222.970001,277.769989,277.671173,1126373100
2023-04-01,275.089996,281.100006,262.200012,277.489990,277.438416,743592100
2023-05-01,278.399994,419.380005,272.399994,378.339996,378.269684,1169636000
2023-06-01,384.890015,439.899994,373.559998,423.019989,422.941376,1052209200
2023-07-01,425.170013,480.880005,413.459991,467.290009,467.251526,870489500
2023-08-01,464.600006,502.660004,403.109985,493.549988,493.509338,1363143600
2023-09-01,497.619995,498.000000,409.799988,434.989990,434.954163,857510100
2023-10-01,440.299988,468.589996,432.459991,468.059998,468.059998,324795200
2023-10-12,467.769989,476.089996,463.299988,469.450012,469.450012,48018752
