Date,Open,High,Low,Close,Adj Close,Volume
2022-05-01,24.610001,25.450001,15.660000,19.459999,19.459999,148086000
2022-06-01,19.389999,21.850000,16.719999,18.780001,18.780001,67529500
2022-07-01,19.000000,21.370001,17.430000,21.299999,21.299999,37629200
2022-08-01,21.500000,23.920000,19.070000,19.680000,19.680000,38293500
2022-09-01,19.400000,23.469999,18.680000,21.070000,21.070000,35574300
2022-10-01,21.230000,22.889999,19.930000,21.570000,21.570000,26001800
2022-11-01,21.969999,29.900000,21.070000,29.840000,29.840000,40871700
2022-12-01,29.809999,30.049999,25.040001,25.270000,25.270000,23612300
2023-01-01,25.730000,26.670000,19.770000,20.760000,20.760000,49823100
2023-02-01,20.840000,22.020000,15.550000,15.890000,15.890000,74203200
2023-03-01,15.960000,17.309999,15.250000,16.299999,16.299999,59691700
2023-04-01,16.299999,18.770000,15.860000,17.980000,17.980000,53992800
2023-05-01,17.870001,17.920000,8.720000,8.980000,8.980000,171193500
2023-06-01,9.030000,11.030000,8.550000,8.880000,8.880000,69175700
2023-07-01,8.890000,10.390000,8.590000,10.130000,10.130000,48288100
2023-08-01,10.100000,13.110000,9.410000,10.210000,10.210000,84117400
